ID	SEN0_1	SEN0_2	SEN0_3	SEN7_1	SEN7_2	SEN7_3	TON0_1	TON0_2	TON0_3	TON7_1	TON7_2	TON7_3	TON30_1	TON30_2	TON30_3
LOC123760264	1.692156	2.046912	1.913063	1.938344	4.810254	5.122446	0.825994	2.751009	1.207363	1.943147	0.896160	0.995905	2.155336	2.839557	2.325489
LOC123760265	0.000000	3.331705	0.163086	3.866732	8.649704	10.762190	0.000000	0.811031	0.085501	4.948012	1.452139	0.0	3.059341	2.529354	1.520100
LOC123760267	0.971884	1.220821	0.620263	2.918263	2.953381	3.621218	0.136461	4.757210	0.685959	2.942440	0.448545	0.854011	2.034835	2.943351	1.395009
LOC123760268	8.187628	9.432309	22.237145	40.872493	30.429691	16.909649	5.733926	76.742947	6.428878	7.891703	56.949671	21.213546	32.628288	14.210849	17.561326
LOC123760269	0.867591	2.431014	1.420054	3.821128	7.170373	6.323034	0.649946	0.647345	1.071301	1.846016	2.103582	0.634095	6.238782	5.836248	5.676723
LOC123760270	0.634379	2.102519	0.856773	5.037859	14.036050	11.892012	1.001188	1.023044	0.712662	5.206409	4.386825	0.173420	10.946800	7.721753	9.199593
LOC123760272	41.129648	98.677677	38.921067	73.694697	54.172868	91.446465	36.314774	40.097577	51.273632	58.144789	29.166596	26.235395	52.743129	73.832821	58.770974
LOC123760274	4.050676	4.424369	7.785423	16.768084	51.307478	16.029745	3.622552	9.249376	0.855165	34.911833	19.469176	4.469767	13.248183	31.217714	7.893920
LOC123760277	0.0	1.970971	0.0	0.155420	3.193223	1.032693	0.000000	1.492501	0.000000	0.000000	0.206056	0.0	0.157950	0.453289	0.195669
LOC123760278	0.541860	2.155866	0.083047	0.864936	2.355671	3.191434	0.240893	2.703063	0.521507	0.630858	0.340626	0.000000	3.178333	2.051984	1.477174
LOC123760280	5.679178	1.067456	2.301891	5.294492	3.126483	5.013609	0.867645	4.713056	3.428627	4.500018	12.677043	2.194644	9.968280	8.022523	11.105142
LOC123760281	1.670912	0.553970	1.162046	0.625867	2.041467	1.059665	0.471921	2.219632	0.901345	1.511633	1.057681	0.333499	1.293699	0.971435	2.106878
LOC123760282	0.434705	1.772208	1.444388	1.494369	2.824726	3.774228	0.221280	1.976738	0.161023	1.277095	1.098526	0.214694	1.213561	2.100572	2.282240
LOC123760283	0.0	0.130304	0.0	0.755166	1.658721	2.160734	0.0	0.000000	0.0	0.174546	0.811651	0.0	0.096116	0.274314	0.506057
LOC123760284	4.535312	4.531534	3.975415	5.960615	5.228008	5.122422	2.700068	7.464056	4.176218	3.186948	0.822552	2.732786	5.583442	7.413391	3.299322
LOC123760286	13.427498	8.738500	5.969738	16.293217	7.950509	10.113140	4.038039	8.790613	3.008373	4.196184	5.960996	3.607089	8.643400	8.681211	12.667252
LOC123760287	7.319495	8.053286	3.849575	9.954228	14.854308	18.938562	2.339763	6.895786	4.770864	7.203835	5.393574	1.402665	13.546096	13.343394	13.486371
LOC123760288	1.549329	4.958036	1.695749	3.508324	8.419973	7.844440	1.689183	9.612475	1.186256	8.147552	1.465936	1.361209	1.703618	1.743807	2.114925
LOC123760290	2.030399	3.724309	1.147037	4.003578	26.344392	23.838936	1.882874	2.440541	1.679766	25.268381	2.518403	1.070368	18.453476	18.737045	13.014490
LOC123760292	3.075251	4.121445	2.542663	8.559535	14.055989	10.910370	1.865291	17.124318	3.552040	8.172374	3.285210	2.325411	16.968294	15.733623	11.772932
LOC123760294	2.136087	0.948920	0.548106	1.666059	1.678351	3.608676	0.133609	1.599927	1.284299	1.262514	0.429351	0.000000	2.376503	3.553497	2.994014
LOC123760295	51.537917	24.580339	32.734826	32.175614	46.429181	32.941670	27.155783	174.554372	28.461070	29.498447	30.044593	23.832963	31.512656	30.698406	36.916978
LOC123760297	7.466567	0.363244	7.867307	14.764133	21.955974	19.472107	5.075908	7.225319	4.847062	13.079579	9.574181	2.627516	16.828238	24.610255	17.252289
LOC123760298	3.350935	28.670835	0.000000	3.471583	16.733426	6.751795	0.029220	1.125896	0.387990	2.334720	26.504696	0.055110	4.433763	3.014900	4.151028
LOC123760303	0.0	10.460167	0.0	3.034337	17.787491	24.886840	0.705867	2.000008	0.000000	5.306884	9.585223	0.162841	6.275214	5.545589	2.684219
LOC123760304	1.975406	0.975351	0.777514	1.761387	5.598047	5.122387	1.017091	1.499192	1.376183	3.552900	3.949418	0.387155	7.487561	4.378393	5.950857
LOC123760305	11.477820	9.434985	7.401888	14.858292	26.466499	30.131792	5.505956	20.645162	6.172512	13.314181	11.872057	5.111187	20.863425	26.705960	30.267625
LOC123760306	57.357473	57.769776	33.708444	54.315488	57.568896	81.261950	28.677004	116.672635	43.569582	43.496801	28.761472	20.061401	41.002758	48.628125	45.041850
LOC123760307	1.273493	2.539533	2.099480	6.529181	9.573254	6.920515	0.985263	3.382681	1.412611	3.483816	3.085913	0.782050	10.564346	12.234135	6.135575
LOC123760309	0.0	3.080819	0.0	3.072421	13.750881	13.730465	0.0	0.125556	0.190080	5.975793	30.065772	0.0	3.035830	26.951142	1.722521
LOC123760310	0.0	0.0	0.0	1.792261	7.977152	5.290764	0.0	0.0	0.0	0.130645	0.330162	0.0	1.790171	12.846875	0.189057
LOC123760311	0.0	0.0	0.0	1.175516	4.665993	4.122443	0.0	0.0	0.0	0.321845	0.361894	0.033081	0.304074	4.334339	0.129517
LOC123760313	0.000000	2.938278	0.290314	0.000000	3.443812	2.019013	0.000000	0.000000	0.304406	1.164912	2.016824	0.0	2.816742	4.131025	1.861473
LOC123760314	0.142069	0.437367	0.081168	0.698721	1.834377	0.949800	0.116958	0.205756	0.126811	0.650725	0.104832	0.113667	0.694376	1.288818	1.135939
LOC123760315	0.698888	2.708250	0.000000	1.567004	5.297107	4.681473	0.000000	0.158661	0.0	0.618468	0.469741	0.0	0.685742	1.232094	0.893862
LOC123760316	0.834575	4.187864	0.252791	12.218117	38.062807	25.762595	0.067366	2.282356	0.100991	16.844627	15.366570	0.075538	9.465230	7.829682	16.295178
LOC123760318	196.065919	132.184398	160.844072	143.484719	144.577161	132.320891	106.976932	533.445185	153.872349	144.868075	146.094498	112.863765	156.466674	135.565190	143.593459
LOC123760319	9.818205	10.347647	4.154375	8.917496	16.184017	17.351398	4.566559	20.083257	3.518524	9.856579	8.118076	2.240458	13.635771	9.637321	18.780011
LOC123760320	0.551577	3.306652	1.505790	1.659659	7.240504	3.468347	0.463709	3.007380	0.920508	2.194619	1.844038	0.600995	3.607626	0.913800	2.207964
LOC123760322	10.819874	7.370064	3.590152	10.870479	9.150597	10.089360	2.454230	16.810015	5.289028	7.522502	6.542136	1.485449	9.801823	12.010165	12.840715
LOC123760324	22.490717	23.606795	19.479833	30.263308	36.796119	42.181089	18.206918	18.194889	16.119218	28.316983	21.970924	16.074634	33.919287	38.665492	33.843940
LOC123760326	4.802450	8.081828	2.769644	19.809138	33.043329	25.490774	2.454178	12.532852	3.412283	8.845311	4.994665	1.656061	13.563703	26.452417	17.540164
LOC123760327	1.154688	2.341162	1.487753	2.859344	3.593515	5.488140	0.603466	5.750100	1.071651	1.816736	1.604167	1.607818	1.846060	2.531586	1.847559
LOC123760328	0.594580	0.791494	0.829420	0.998752	1.281489	2.981263	0.174216	3.779958	0.188896	1.281166	0.861616	0.304177	1.064356	0.653234	1.367387
LOC123760331	9.856110	18.215743	21.504917	43.058818	90.418211	93.299435	11.622716	29.401377	2.783522	78.739031	23.723242	9.028794	25.717304	50.252454	17.759439
LOC123760332	0.196449	3.299362	3.952103	15.191031	21.373699	26.783737	1.332902	4.760344	1.094834	17.729370	9.914358	1.293765	2.300516	8.153781	4.437008
LOC123760334	0.000000	0.039379	0.000000	0.191117	0.431390	0.527446	0.000000	0.300693	0.086896	0.206523	0.000000	0.0	1.047832	0.666084	1.175299
LOC123760335	8.169184	6.261189	4.386035	7.984887	8.788925	10.526242	2.815476	8.052710	4.769754	7.185539	3.773679	1.192173	9.218715	9.339623	9.045514
LOC123760336	1.159256	2.744551	0.683445	3.665363	2.949906	9.537376	0.303700	0.972974	1.174889	2.172908	0.294416	0.413888	0.920123	1.007013	0.921172
LOC123760340	126.418392	145.704131	48.225730	189.065762	214.834033	291.987669	43.851383	467.884120	89.520053	137.381445	99.088314	38.702026	204.683286	177.363869	140.932284
LOC123760341	4.445124	6.355244	8.528755	8.816835	12.885889	13.027726	2.085340	5.959973	8.367158	6.774335	4.797839	2.824143	12.354192	13.267117	9.098598
LOC123760342	0.000000	0.963697	0.461695	0.770108	1.672369	1.004656	0.531053	0.671905	0.389031	0.823283	0.189304	0.000000	1.328298	0.872647	0.314704
