GeneID	FlyID	Genename	Module	Sendai Day 0 rep1	Sendai Day 0 rep2	Sendai Day 0 rep3	Sendai Day 7 rep1	Sendai Day 7 rep2	Sendai Day 7 rep3	Sapporo Day 0 rep1	Sapporo Day 0 rep2	Sapporo Day 0 rep3	Sapporo Day 7 rep1	Sapporo Day 7 rep2	Sapporo Day 7 rep3	Sapporo Day 31 rep1	Sapporo Day 31 rep2	Sapporo Day 31 rep3
LOC123774402	NA	NA	brown	2.01858325878088	3.02876998399783	0.326479823267404	3.60237325978727	6.14924556372693	5.56192930251986	1.65597594544931	3.20589245845034	1.78593466131114	4.9761958003912	4.00059138374138	1.04786569753122	5.45092475379108	5.48740453942862	4.37567817786386
LOC123774403	NA	NA	green	0	1.51941609729334	0	0.968738114128425	3.77900457300768	3.3208264652722	0	0	0.507851459069112	2.19794400162707	0.367571239677334	0	2.20346836693726	3.03673453324772	2.46429186267703
LOC123774762	NA	NA	magenta	2.29536392214473	2.61751383649599	1.4933440082466	3.20906807561756	3.5165544174173	2.79411908255395	1.42077503457664	2.27240068967424	1.00237488430565	3.32817842916283	2.25536990272369	1.07755816943942	4.20731550198027	5.23192717475705	3.80302808375226
LOC123774802	NA	NA	black	1.24643119450561	2.87099078735258	0.501150704708714	4.36465850119471	5.62053805589922	5.08842000641433	0.698990080350774	2.96184980807465	0.479350608309713	3.5541640842889	1.62650081497251	0.662084244358812	3.80807825226072	3.4039325997056	3.91363240216649
LOC123774869	NA	NA	blue	2.92550900872849	0.90940753669084	3.59106791302391	8.40478669102422	8.36556774980657	8.12113191046394	0.63688117995544	1.00421156569115	0.613430755030688	8.24536381730183	7.42963111074649	3.7346697389779	3.30743406279895	3.06548390676419	1.7926987916787
LOC123774906	NA	NA	midnightblue	0	0	0	0.11434836641973	0	0	0	0	0	0	5.46176123028992	0	0.135919624684166	1.40435165445563	0.073388388202004
LOC123774909	NA	NA	cyan	0	0	0	0.628011109606684	1.39043216920598	1.40303643624051	0	0.21843029143813	0	0.843645434103874	0	0	0.538871856900324	0	0
LOC123775133	NA	NA	green	0.159069823186903	0.439592288817214	0.184350126152621	1.53959757188006	2.43204059891503	1.97172967834337	0.259100106700227	0.962957620688248	0.322057354572279	1.564979511687	0.46737130912051	0	1.76966385039566	1.74910514956946	1.06523520681564
LOC123775168	NA	NA	brown	1.27018444846911	4.82715177628045	0.929031205490115	4.23636472181512	5.08593880518218	5.30061628055492	0	0.668139098928838	1.13142683450489	3.68608396239177	5.85920507503383	0	5.22139699197947	4.64341373392659	4.71644915122672
LOC123775268	NA	NA	turquoise	0.462132960838871	1.40306916765776	0.466453803524199	3.83037307589635	4.85070557690053	4.29107615306733	0.243234013574101	0.580819871148319	0.67500653060764	2.70389316662851	1.9937055156574	0.0931612503129126	3.69588649754307	4.09280051624177	4.49390782552361
LOC123775334	NA	NA	blue	0	0	0	0	3.28260452676273	2.54345010249656	0	0	0	2.39466312311981	0	0	2.16472418043251	0	3.44724499740633
LOC123775371	NA	NA	brown	0	1.13991081493908	0	2.07366224782132	2.48363471170465	2.65917219767742	0	0.98729830658704	0.199661666890696	1.85193928974474	2.49667529948083	0	2.29933639879373	2.91089860065866	3.45614009582643
MSTRG.10041	NA	NA	greenyellow	0	0	0	3.58480175149345	3.63164318374882	3.58551326463428	0	0.541336412001962	0	2.09071389545076	2.81014939347672	0	3.6719336103401	4.75341541617189	4.22506542151573
MSTRG.10043	NA	NA	cyan	0	0	0	2.09546538434558	2.35957401955072	2.56582404130692	0	0.552999661565494	0	0.712430262688583	0	0	1.38497151051514	0	0
MSTRG.10064	NA	NA	turquoise	0	0	0	2.23816624498924	3.23232981984646	3.32349127341328	0	1.41610523940445	0	3.30850082136384	0	0	3.55187833774753	3.0862657565038	3.09351454192831
MSTRG.1009	NA	NA	magenta	0	0	0	1.50778398641136	4.47319874092592	4.39554105866822	0	0	0	3.72323121494789	2.75599997877344	1.69605436940859	3.96890691138515	5.54376490983028	1.74821775767208
MSTRG.10128	NA	NA	green	0	3.01705531831381	0.49986986272201	3.18031736468443	2.79652113219929	4.35886812724052	0	0	0	2.47777419468045	0	0	1.43603654439317	2.64417585557812	1.72998991749077
MSTRG.1013	NA	NA	green	1.50233162020844	0.215551869927777	0	4.31207787018145	2.97804842333764	4.89315967556169	0	0	1.40308662411	3.90957679595213	0.895412758363509	0	4.67968963398381	4.75605673331344	1.68877611674043
MSTRG.10286	NA	NA	black	0.460602087460819	2.25026309158147	0	3.96827031722396	4.88829422694194	4.88884741137225	0.395066090833308	0	0	0.416458214802764	0.225450165330938	0	2.742404891669	2.66426733023056	2.62743104273255
MSTRG.10352	NA	NA	lightcyan	0	0	0	0.303216123917536	0	1.38389723787326	0	0	0	0.982962553566246	0.0469463924313408	0	0.274255696614058	1.11497063155353	0.374001151721909
MSTRG.10356	NA	NA	lightcyan	0.292256394820189	1.56579748210417	0.987461308093411	0.635872309078252	1.30647982350136	1.45284157321671	0	0.268546978086504	1.56339196963178	0	0	0	1.53067956293309	1.75698098943622	1.72089044093178
MSTRG.10380	NA	NA	brown	0.204855625442362	0.869106239419471	0.248451040811416	1.39142734892731	1.78865355757271	2.11902310680558	0	0	0.0973370630954572	0.855782444460886	0.810268694815154	0.171697465294548	1.6422450119444	1.66586752697307	1.27172386599749
MSTRG.10382	NA	NA	greenyellow	0.876903119686245	2.05438799108885	0.453693510119667	2.27781577848094	1.97115246736582	2.96899904129403	0	0.466757615726172	0	1.305448780803	1.09364670822758	0	2.18431489329151	2.69517070784535	1.65961589821931
MSTRG.1042	NA	NA	brown	1.14660895608949	3.19405820423255	0.661304502598784	3.75667715026226	5.24248322906293	4.68000067069615	0.726577524482495	2.4538180709758	0.733339588168058	4.23040347624308	3.22443825739844	0.710423169937831	3.83641489097931	4.11770617863688	4.24848383086693
MSTRG.10470	NA	NA	blue	0	1.18128514271646	0	0.478078221936119	1.95940554121647	0.856941880571986	0	0	0	0.228682031949357	0.230977654360184	0	1.90754139280216	1.22692216639158	1.07669042981151
MSTRG.1060	NA	NA	brown	0	1.47682129907087	0	5.2940972772542	5.29288148311619	6.32038046156004	0	0.750287490336874	0.578610296593419	5.29804016280045	5.60285623729946	3.4028480797786	5.2289563747404	6.26256163911826	6.27062009839215
